CostID,SchoolYear,SchoolState,SchoolType,EducationLevel,AnnualTotalDegreeCost,EstimatedTotalDegreeCost
456,2022,Alabama,Public In-State,Doctoral Degree,34536,172680
457,2022,Alabama,Public In-State,Master's Degree,26745,53490
458,2022,Alaska,Private,Associate Degree,26833,53666
459,2022,Alaska,Private,Bachelor's Degree,51742,206968
460,2022,Alaska,Private,Doctoral Degree,51016,255080
461,2022,Alaska,Private,Master's Degree,42539,85078
462,2022,Alaska,Public In-State,Associate Degree,14099,28198
463,2022,Alaska,Public In-State,Bachelor's Degree,21079,84316
464,2022,Alaska,Public In-State,Doctoral Degree,32623,163115
465,2022,Alaska,Public In-State,Master's Degree,24886,49772
466,2022,Arizona,Private,Associate Degree,28988,57976
467,2022,Arizona,Private,Bachelor's Degree,53633,214532
468,2022,Arizona,Private,Doctoral Degree,53109,265545
469,2022,Arizona,Private,Master's Degree,46224,92448
470,2022,Arizona,Public In-State,Associate Degree,13454,26908
471,2022,Arizona,Public In-State,Bachelor's Degree,20419,81676
472,2022,Arizona,Public In-State,Doctoral Degree,34250,171250
473,2022,Arizona,Public In-State,Master's Degree,25560,51120
474,2022,Arkansas,Private,Associate Degree,27734,55468
475,2022,Arkansas,Private,Bachelor's Degree,56495,225980
476,2022,Arkansas,Private,Doctoral Degree,58285,291425
477,2022,Arkansas,Private,Master's Degree,43451,86902
478,2022,Arkansas,Public In-State,Associate Degree,13767,27534
479,2022,Arkansas,Public In-State,Bachelor's Degree,21373,85492
480,2022,Arkansas,Public In-State,Doctoral Degree,34895,174475
481,2022,Arkansas,Public In-State,Master's Degree,27005,54010
482,2022,California,Private,Associate Degree,26595,53190
483,2022,California,Private,Bachelor's Degree,53930,215720
484,2022,California,Private,Doctoral Degree,52179,260895
485,2022,California,Private,Master's Degree,43411,86822
486,2022,California,Public In-State,Associate Degree,14051,28102
487,2022,California,Public In-State,Bachelor's Degree,22659,90636
488,2022,California,Public In-State,Doctoral Degree,31502,157510
489,2022,California,Public In-State,Master's Degree,25028,50056
490,2022,Colorado,Private,Associate Degree,29154,58308
491,2022,Colorado,Private,Bachelor's Degree,55912,223648
492,2022,Colorado,Private,Doctoral Degree,53152,265760
493,2022,Colorado,Private,Master's Degree,45954,91908
494,2022,Colorado,Public In-State,Associate Degree,12905,25810
495,2022,Colorado,Public In-State,Bachelor's Degree,20771,83084
496,2022,Colorado,Public In-State,Doctoral Degree,35558,177790
497,2022,Colorado,Public In-State,Master's Degree,23935,47870
498,2022,Connecticut,Private,Associate Degree,27631,55262
499,2022,Connecticut,Private,Bachelor's Degree,53282,213128
500,2022,Connecticut,Private,Doctoral Degree,56201,281005
501,2022,Connecticut,Private,Master's Degree,47141,94282
502,2022,Connecticut,Public In-State,Associate Degree,14005,28010
503,2022,Connecticut,Public In-State,Bachelor's Degree,20799,83196
504,2022,Connecticut,Public In-State,Doctoral Degree,36393,181965
505,2022,Connecticut,Public In-State,Master's Degree,25267,50534
506,2022,Delaware,Private,Associate Degree,27597,55194
507,2022,Delaware,Private,Bachelor's Degree,51240,204960
508,2022,Delaware,Private,Doctoral Degree,51790,258950
509,2022,Delaware,Private,Master's Degree,43454,86908
510,2022,Delaware,Public In-State,Associate Degree,13582,27164
511,2022,Delaware,Public In-State,Bachelor's Degree,22079,88316
512,2022,Delaware,Public In-State,Doctoral Degree,33451,167255
513,2022,Delaware,Public In-State,Master's Degree,26473,52946
514,2022,District of Columbia,Private,Associate Degree,27860,55720
515,2022,District of Columbia,Private,Bachelor's Degree,51328,205312
516,2022,District of Columbia,Private,Doctoral Degree,51171,255855
517,2022,District of Columbia,Private,Master's Degree,48966,97932
518,2022,District of Columbia,Public In-State,Associate Degree,13766,27532
519,2022,District of Columbia,Public In-State,Bachelor's Degree,21410,85640
520,2022,District of Columbia,Public In-State,Doctoral Degree,34021,170105
521,2022,District of Columbia,Public In-State,Master's Degree,25379,50758
522,2022,Florida,Private,Associate Degree,28668,57336
523,2022,Florida,Private,Bachelor's Degree,49760,199040
524,2022,Florida,Private,Doctoral Degree,55484,277420
525,2022,Florida,Private,Master's Degree,47796,95592
526,2022,Florida,Public In-State,Associate Degree,12782,25564
527,2022,Florida,Public In-State,Bachelor's Degree,21395,85580
528,2022,Florida,Public In-State,Doctoral Degree,36769,183845
529,2022,Florida,Public In-State,Master's Degree,25238,50476
530,2022,Georgia,Private,Associate Degree,26677,53354
531,2022,Georgia,Private,Bachelor's Degree,55922,223688
532,2022,Georgia,Private,Doctoral Degree,59092,295460
533,2022,Georgia,Private,Master's Degree,41240,82480
534,2022,Georgia,Public In-State,Associate Degree,13243,26486
535,2022,Georgia,Public In-State,Bachelor's Degree,20820,83280
536,2022,Georgia,Public In-State,Doctoral Degree,33856,169280
537,2022,Georgia,Public In-State,Master's Degree,25317,50634
538,2022,Hawaii,Private,Associate Degree,28866,57732
539,2022,Hawaii,Private,Bachelor's Degree,54113,216452
540,2022,Hawaii,Private,Doctoral Degree,57470,287350
541,2022,Hawaii,Private,Master's Degree,45258,90516
542,2022,Hawaii,Public In-State,Associate Degree,12565,25130
543,2022,Hawaii,Public In-State,Bachelor's Degree,21000,84000
544,2022,Hawaii,Public In-State,Doctoral Degree,32345,161725
545,2022,Hawaii,Public In-State,Master's Degree,23901,47802
546,2022,Idaho,Private,Associate Degree,26616,53232
547,2022,Idaho,Private,Bachelor's Degree,51560,206240
548,2022,Idaho,Private,Doctoral Degree,51459,257295
549,2022,Idaho,Private,Master's Degree,42396,84792
550,2022,Idaho,Public In-State,Associate Degree,13594,27188
551,2022,Idaho,Public In-State,Bachelor's Degree,22745,90980
552,2022,Idaho,Public In-State,Doctoral Degree,33733,168665
553,2022,Idaho,Public In-State,Master's Degree,26701,53402
554,2022,Illinois,Private,Associate Degree,29245,58490
555,2022,Illinois,Private,Bachelor's Degree,51579,206316
556,2022,Illinois,Private,Doctoral Degree,50214,251070
557,2022,Illinois,Private,Master's Degree,43405,86810
558,2022,Illinois,Public In-State,Associate Degree,13694,27388
559,2022,Illinois,Public In-State,Bachelor's Degree,22235,88940
560,2022,Illinois,Public In-State,Doctoral Degree,34390,171950
561,2022,Illinois,Public In-State,Master's Degree,24970,49940
562,2022,Indiana,Private,Associate Degree,29203,58406
563,2022,Indiana,Private,Bachelor's Degree,54295,217180
564,2022,Indiana,Private,Doctoral Degree,54245,271225
565,2022,Indiana,Private,Master's Degree,42723,85446
566,2022,Indiana,Public In-State,Associate Degree,14348,28696
567,2022,Indiana,Public In-State,Bachelor's Degree,21154,84616
568,2022,Indiana,Public In-State,Doctoral Degree,35060,175300
569,2022,Indiana,Public In-State,Master's Degree,26236,52472
570,2022,Iowa,Private,Associate Degree,29194,58388
571,2022,Iowa,Private,Bachelor's Degree,55708,222832
572,2022,Iowa,Private,Doctoral Degree,53003,265015
573,2022,Iowa,Private,Master's Degree,41752,83504
574,2022,Iowa,Public In-State,Associate Degree,13473,26946
575,2022,Iowa,Public In-State,Bachelor's Degree,22503,90012
576,2022,Iowa,Public In-State,Doctoral Degree,33197,165985
577,2022,Iowa,Public In-State,Master's Degree,24280,48560
578,2022,Kansas,Private,Associate Degree,28086,56172
579,2022,Kansas,Private,Bachelor's Degree,52254,209016
580,2022,Kansas,Private,Doctoral Degree,50585,252925
581,2022,Kansas,Private,Master's Degree,47578,95156
582,2022,Kansas,Public In-State,Associate Degree,13388,26776
583,2022,Kansas,Public In-State,Bachelor's Degree,22328,89312
584,2022,Kansas,Public In-State,Doctoral Degree,34656,173280
585,2022,Kansas,Public In-State,Master's Degree,25114,50228
586,2022,Kentucky,Private,Associate Degree,27550,55100
587,2022,Kentucky,Private,Bachelor's Degree,49734,198936
588,2022,Kentucky,Private,Doctoral Degree,55841,279205
589,2022,Kentucky,Private,Master's Degree,45712,91424
590,2022,Kentucky,Public In-State,Associate Degree,13403,26806
591,2022,Kentucky,Public In-State,Bachelor's Degree,22051,88204
592,2022,Kentucky,Public In-State,Doctoral Degree,34433,172165
593,2022,Kentucky,Public In-State,Master's Degree,25637,51274
594,2022,Louisiana,Private,Associate Degree,27351,54702
595,2022,Louisiana,Private,Bachelor's Degree,51216,204864
596,2022,Louisiana,Private,Doctoral Degree,57560,287800
597,2022,Louisiana,Private,Master's Degree,48001,96002
598,2022,Louisiana,Public In-State,Associate Degree,13723,27446
599,2022,Louisiana,Public In-State,Bachelor's Degree,21828,87312
600,2022,Louisiana,Public In-State,Doctoral Degree,35614,178070
601,2022,Louisiana,Public In-State,Master's Degree,24957,49914
602,2022,Maine,Private,Associate Degree,27314,54628
603,2022,Maine,Private,Bachelor's Degree,53276,213104
604,2022,Maine,Private,Doctoral Degree,55470,277350
605,2022,Maine,Private,Master's Degree,41264,82528
606,2022,Maine,Public In-State,Associate Degree,13402,26804
607,2022,Maine,Public In-State,Bachelor's Degree,21898,87592
608,2022,Maine,Public In-State,Doctoral Degree,32206,161030
609,2022,Maine,Public In-State,Master's Degree,27073,54146
610,2022,Maryland,Private,Associate Degree,27187,54374
611,2022,Maryland,Private,Bachelor's Degree,50248,200992
612,2022,Maryland,Private,Doctoral Degree,56446,282230
613,2022,Maryland,Private,Master's Degree,43705,87410
614,2022,Maryland,Public In-State,Associate Degree,12861,25722
615,2022,Maryland,Public In-State,Bachelor's Degree,21462,85848
616,2022,Maryland,Public In-State,Doctoral Degree,33563,167815
617,2022,Maryland,Public In-State,Master's Degree,26093,52186
618,2022,Massachusetts,Private,Associate Degree,26836,53672
619,2022,Massachusetts,Private,Bachelor's Degree,53874,215496
620,2022,Massachusetts,Private,Doctoral Degree,52773,263865
621,2022,Massachusetts,Private,Master's Degree,42183,84366
622,2022,Massachusetts,Public In-State,Associate Degree,13062,26124
623,2022,Massachusetts,Public In-State,Bachelor's Degree,21113,84452
624,2022,Massachusetts,Public In-State,Doctoral Degree,34634,173170
625,2022,Massachusetts,Public In-State,Master's Degree,26648,53296
626,2022,Michigan,Private,Associate Degree,28965,57930
627,2022,Michigan,Private,Bachelor's Degree,53427,213708
628,2022,Michigan,Private,Doctoral Degree,58574,292870
629,2022,Michigan,Private,Master's Degree,44545,89090
630,2022,Michigan,Public In-State,Associate Degree,13026,26052
631,2022,Michigan,Public In-State,Bachelor's Degree,22700,90800
632,2022,Michigan,Public In-State,Doctoral Degree,32254,161270
633,2022,Michigan,Public In-State,Master's Degree,24209,48418
634,2022,Minnesota,Private,Associate Degree,28087,56174
635,2022,Minnesota,Private,Bachelor's Degree,55400,221600
636,2022,Minnesota,Private,Doctoral Degree,54338,271690
637,2022,Minnesota,Private,Master's Degree,47226,94452
638,2022,Minnesota,Public In-State,Associate Degree,12636,25272
639,2022,Minnesota,Public In-State,Bachelor's Degree,21854,87416
640,2022,Minnesota,Public In-State,Doctoral Degree,32078,160390
641,2022,Minnesota,Public In-State,Master's Degree,25451,50902
642,2022,Mississippi,Private,Associate Degree,30175,60350
643,2022,Mississippi,Private,Bachelor's Degree,54860,219440
644,2022,Mississippi,Private,Doctoral Degree,54891,274455
645,2022,Mississippi,Private,Master's Degree,41756,83512
646,2022,Mississippi,Public In-State,Associate Degree,12870,25740
647,2022,Mississippi,Public In-State,Bachelor's Degree,22318,89272
648,2022,Mississippi,Public In-State,Doctoral Degree,33492,167460
649,2022,Mississippi,Public In-State,Master's Degree,24367,48734
650,2022,Missouri,Private,Associate Degree,27386,54772
651,2022,Missouri,Private,Bachelor's Degree,51554,206216
652,2022,Missouri,Private,Doctoral Degree,56674,283370
653,2022,Missouri,Private,Master's Degree,45823,91646
654,2022,Missouri,Public In-State,Associate Degree,12987,25974
655,2022,Missouri,Public In-State,Bachelor's Degree,21390,85560
656,2022,Missouri,Public In-State,Doctoral Degree,35008,175040
657,2022,Missouri,Public In-State,Master's Degree,26201,52402
658,2022,Montana,Private,Associate Degree,27194,54388
659,2022,Montana,Private,Bachelor's Degree,55443,221772
660,2022,Montana,Private,Doctoral Degree,55989,279945
661,2022,Montana,Private,Master's Degree,44413,88826
662,2022,Montana,Public In-State,Associate Degree,13374,26748
663,2022,Montana,Public In-State,Bachelor's Degree,21521,86084
664,2022,Montana,Public In-State,Doctoral Degree,34332,171660
665,2022,Montana,Public In-State,Master's Degree,25956,51912
666,2022,Nebraska,Private,Associate Degree,28520,57040
667,2022,Nebraska,Private,Bachelor's Degree,51859,207436
668,2022,Nebraska,Private,Doctoral Degree,53383,266915
669,2022,Nebraska,Private,Master's Degree,43688,87376
670,2022,Nebraska,Public In-State,Associate Degree,12884,25768
671,2022,Nebraska,Public In-State,Bachelor's Degree,21549,86196
672,2022,Nebraska,Public In-State,Doctoral Degree,34833,174165
673,2022,Nebraska,Public In-State,Master's Degree,24415,48830
674,2022,Nevada,Private,Associate Degree,25997,51994
675,2022,Nevada,Private,Bachelor's Degree,53159,212636
676,2022,Nevada,Private,Doctoral Degree,57953,289765
677,2022,Nevada,Private,Master's Degree,47389,94778
678,2022,Nevada,Public In-State,Associate Degree,12990,25980
679,2022,Nevada,Public In-State,Bachelor's Degree,21750,87000
680,2022,Nevada,Public In-State,Doctoral Degree,35861,179305
681,2022,Nevada,Public In-State,Master's Degree,24256,48512
682,2022,New Hampshire,Private,Associate Degree,28506,57012
683,2022,New Hampshire,Private,Bachelor's Degree,55374,221496
684,2022,New Hampshire,Private,Doctoral Degree,53880,269400
685,2022,New Hampshire,Private,Master's Degree,44169,88338
686,2022,New Hampshire,Public In-State,Associate Degree,13565,27130
687,2022,New Hampshire,Public In-State,Bachelor's Degree,21316,85264
688,2022,New Hampshire,Public In-State,Doctoral Degree,35130,175650
689,2022,New Hampshire,Public In-State,Master's Degree,25733,51466
690,2022,New Jersey,Private,Associate Degree,28227,56454
691,2022,New Jersey,Private,Bachelor's Degree,52837,211348
692,2022,New Jersey,Private,Doctoral Degree,52277,261385
693,2022,New Jersey,Private,Master's Degree,41745,83490
694,2022,New Jersey,Public In-State,Associate Degree,13459,26918
695,2022,New Jersey,Public In-State,Bachelor's Degree,21457,85828
696,2022,New Jersey,Public In-State,Doctoral Degree,33144,165720
697,2022,New Jersey,Public In-State,Master's Degree,24096,48192
698,2022,New Mexico,Private,Associate Degree,27646,55292
699,2022,New Mexico,Private,Bachelor's Degree,53091,212364
700,2022,New Mexico,Private,Doctoral Degree,53515,267575
701,2022,New Mexico,Private,Master's Degree,49106,98212
702,2022,New Mexico,Public In-State,Associate Degree,13746,27492
703,2022,New Mexico,Public In-State,Bachelor's Degree,20661,82644
704,2022,New Mexico,Public In-State,Doctoral Degree,36403,182015
705,2022,New Mexico,Public In-State,Master's Degree,25131,50262
706,2022,New York,Private,Associate Degree,27042,54084
707,2022,New York,Private,Bachelor's Degree,53924,215696
708,2022,New York,Private,Doctoral Degree,55171,275855
709,2022,New York,Private,Master's Degree,46801,93602
710,2022,New York,Public In-State,Associate Degree,14137,28274
711,2022,New York,Public In-State,Bachelor's Degree,20814,83256
712,2022,New York,Public In-State,Doctoral Degree,34111,170555
713,2022,New York,Public In-State,Master's Degree,27869,55738
714,2022,North Carolina,Private,Associate Degree,27649,55298
715,2022,North Carolina,Private,Bachelor's Degree,52341,209364
716,2022,North Carolina,Private,Doctoral Degree,53416,267080
717,2022,North Carolina,Private,Master's Degree,43400,86800
718,2022,North Carolina,Public In-State,Associate Degree,12978,25956
719,2022,North Carolina,Public In-State,Bachelor's Degree,21885,87540
720,2022,North Carolina,Public In-State,Doctoral Degree,34648,173240
721,2022,North Carolina,Public In-State,Master's Degree,26353,52706
722,2022,North Dakota,Private,Associate Degree,27652,55304
723,2022,North Dakota,Private,Bachelor's Degree,53344,213376
724,2022,North Dakota,Private,Doctoral Degree,55043,275215
725,2022,North Dakota,Private,Master's Degree,43848,87696
726,2022,North Dakota,Public In-State,Associate Degree,13206,26412
727,2022,North Dakota,Public In-State,Bachelor's Degree,22160,88640
728,2022,North Dakota,Public In-State,Doctoral Degree,36323,181615
729,2022,North Dakota,Public In-State,Master's Degree,25670,51340
730,2022,Ohio,Private,Associate Degree,27658,55316
731,2022,Ohio,Private,Bachelor's Degree,54278,217112
732,2022,Ohio,Private,Doctoral Degree,57310,286550
733,2022,Ohio,Private,Master's Degree,46127,92254
734,2022,Ohio,Public In-State,Associate Degree,13107,26214
735,2022,Ohio,Public In-State,Bachelor's Degree,22320,89280
736,2022,Ohio,Public In-State,Doctoral Degree,32997,164985
737,2022,Ohio,Public In-State,Master's Degree,23208,46416
738,2022,Oklahoma,Private,Associate Degree,27700,55400
739,2022,Oklahoma,Private,Bachelor's Degree,54153,216612
740,2022,Oklahoma,Private,Doctoral Degree,51354,256770
741,2022,Oklahoma,Private,Master's Degree,43123,86246
742,2022,Oklahoma,Public In-State,Associate Degree,13664,27328
743,2022,Oklahoma,Public In-State,Bachelor's Degree,20604,82416
744,2022,Oklahoma,Public In-State,Doctoral Degree,33991,169955
745,2022,Oklahoma,Public In-State,Master's Degree,25378,50756
746,2022,Oregon,Private,Associate Degree,28068,56136
747,2022,Oregon,Private,Bachelor's Degree,55025,220100
748,2022,Oregon,Private,Doctoral Degree,56882,284410
749,2022,Oregon,Private,Master's Degree,45454,90908
750,2022,Oregon,Public In-State,Associate Degree,13132,26264
751,2022,Oregon,Public In-State,Bachelor's Degree,20774,83096
752,2022,Oregon,Public In-State,Doctoral Degree,32770,163850
753,2022,Oregon,Public In-State,Master's Degree,26156,52312
754,2022,Pennsylvania,Private,Associate Degree,28202,56404
755,2022,Pennsylvania,Private,Bachelor's Degree,51547,206188
756,2022,Pennsylvania,Private,Doctoral Degree,51577,257885
757,2022,Pennsylvania,Private,Master's Degree,43722,87444
758,2022,Pennsylvania,Public In-State,Associate Degree,13422,26844
759,2022,Pennsylvania,Public In-State,Bachelor's Degree,21877,87508
760,2022,Pennsylvania,Public In-State,Doctoral Degree,33500,167500
761,2022,Pennsylvania,Public In-State,Master's Degree,26139,52278
762,2022,Rhode Island,Private,Associate Degree,28116,56232
763,2022,Rhode Island,Private,Bachelor's Degree,52494,209976
764,2022,Rhode Island,Private,Doctoral Degree,56634,283170
765,2022,Rhode Island,Private,Master's Degree,46237,92474
766,2022,Rhode Island,Public In-State,Associate Degree,14048,28096
767,2022,Rhode Island,Public In-State,Bachelor's Degree,22714,90856
768,2022,Rhode Island,Public In-State,Doctoral Degree,30628,153140
769,2022,Rhode Island,Public In-State,Master's Degree,25946,51892
770,2022,South Carolina,Private,Associate Degree,27978,55956
771,2022,South Carolina,Private,Bachelor's Degree,52058,208232
772,2022,South Carolina,Private,Doctoral Degree,51798,258990
773,2022,South Carolina,Private,Master's Degree,45875,91750
774,2022,South Carolina,Public In-State,Associate Degree,13181,26362
775,2022,South Carolina,Public In-State,Bachelor's Degree,21481,85924
776,2022,South Carolina,Public In-State,Doctoral Degree,34940,174700
777,2022,South Carolina,Public In-State,Master's Degree,25364,50728
778,2022,South Dakota,Private,Associate Degree,27415,54830
779,2022,South Dakota,Private,Bachelor's Degree,57097,228388
780,2022,South Dakota,Private,Doctoral Degree,51779,258895
781,2022,South Dakota,Private,Master's Degree,46564,93128
782,2022,South Dakota,Public In-State,Associate Degree,13219,26438
783,2022,South Dakota,Public In-State,Bachelor's Degree,22148,88592
784,2022,South Dakota,Public In-State,Doctoral Degree,32637,163185
785,2022,South Dakota,Public In-State,Master's Degree,27258,54516
786,2022,Tennessee,Private,Associate Degree,27899,55798
787,2022,Tennessee,Private,Bachelor's Degree,55795,223180
788,2022,Tennessee,Private,Doctoral Degree,51897,259485
789,2022,Tennessee,Private,Master's Degree,44262,88524
790,2022,Tennessee,Public In-State,Associate Degree,13133,26266
791,2022,Tennessee,Public In-State,Bachelor's Degree,21652,86608
792,2022,Tennessee,Public In-State,Doctoral Degree,32983,164915
793,2022,Tennessee,Public In-State,Master's Degree,23618,47236
794,2022,Texas,Private,Associate Degree,27213,54426
795,2022,Texas,Private,Bachelor's Degree,52450,209800
796,2022,Texas,Private,Doctoral Degree,54627,273135
797,2022,Texas,Private,Master's Degree,45539,91078
798,2022,Texas,Public In-State,Associate Degree,13610,27220
799,2022,Texas,Public In-State,Bachelor's Degree,20974,83896
800,2022,Texas,Public In-State,Doctoral Degree,34327,171635
801,2022,Texas,Public In-State,Master's Degree,24192,48384
802,2022,Utah,Private,Associate Degree,28009,56018
803,2022,Utah,Private,Bachelor's Degree,54990,219960
804,2022,Utah,Private,Doctoral Degree,54606,273030
805,2022,Utah,Private,Master's Degree,45326,90652
806,2022,Utah,Public In-State,Associate Degree,14226,28452
807,2022,Utah,Public In-State,Bachelor's Degree,21179,84716
808,2022,Utah,Public In-State,Doctoral Degree,32126,160630
809,2022,Utah,Public In-State,Master's Degree,25988,51976
810,2022,Vermont,Private,Associate Degree,29076,58152
811,2022,Vermont,Private,Bachelor's Degree,56706,226824
812,2022,Vermont,Private,Doctoral Degree,53963,269815
813,2022,Vermont,Private,Master's Degree,47671,95342
814,2022,Vermont,Public In-State,Associate Degree,13665,27330
815,2022,Vermont,Public In-State,Bachelor's Degree,21137,84548
816,2022,Vermont,Public In-State,Doctoral Degree,31813,159065
817,2022,Vermont,Public In-State,Master's Degree,25928,51856
818,2022,Virginia,Private,Associate Degree,27551,55102
819,2022,Virginia,Private,Bachelor's Degree,53293,213172
820,2022,Virginia,Private,Doctoral Degree,54985,274925
821,2022,Virginia,Private,Master's Degree,44868,89736
822,2022,Virginia,Public In-State,Associate Degree,13513,27026
823,2022,Virginia,Public In-State,Bachelor's Degree,21633,86532
824,2022,Virginia,Public In-State,Doctoral Degree,34529,172645
825,2022,Virginia,Public In-State,Master's Degree,24010,48020
826,2022,Washington,Private,Associate Degree,27846,55692
827,2022,Washington,Private,Bachelor's Degree,50649,202596
828,2022,Washington,Private,Doctoral Degree,55167,275835
829,2022,Washington,Private,Master's Degree,44415,88830
830,2022,Washington,Public In-State,Associate Degree,13830,27660
831,2022,Washington,Public In-State,Bachelor's Degree,21653,86612
832,2022,Washington,Public In-State,Doctoral Degree,31942,159710
833,2022,Washington,Public In-State,Master's Degree,26602,53204
834,2022,West Virginia,Private,Associate Degree,28532,57064
835,2022,West Virginia,Private,Bachelor's Degree,50836,203344
836,2022,West Virginia,Private,Doctoral Degree,52363,261815
837,2022,West Virginia,Private,Master's Degree,44108,88216
838,2022,West Virginia,Public In-State,Associate Degree,12492,24984
839,2022,West Virginia,Public In-State,Bachelor's Degree,20385,81540
840,2022,West Virginia,Public In-State,Doctoral Degree,31996,159980
841,2022,West Virginia,Public In-State,Master's Degree,25769,51538
842,2022,Wisconsin,Private,Associate Degree,28172,56344
843,2022,Wisconsin,Private,Bachelor's Degree,54859,219436
844,2022,Wisconsin,Private,Doctoral Degree,50987,254935
845,2022,Wisconsin,Private,Master's Degree,41849,83698
846,2022,Wisconsin,Public In-State,Associate Degree,13634,27268
847,2022,Wisconsin,Public In-State,Bachelor's Degree,21529,86116
848,2022,Wisconsin,Public In-State,Doctoral Degree,33793,168965
849,2022,Wisconsin,Public In-State,Master's Degree,26851,53702
850,2022,Wyoming,Private,Associate Degree,28849,57698
851,2022,Wyoming,Private,Bachelor's Degree,51324,205296
852,2022,Wyoming,Private,Doctoral Degree,57415,287075
853,2022,Wyoming,Private,Master's Degree,47840,95680
854,2022,Wyoming,Public In-State,Associate Degree,14004,28008
855,2022,Wyoming,Public In-State,Bachelor's Degree,20710,82840
856,2022,Wyoming,Public In-State,Doctoral Degree,32728,163640
857,2022,Wyoming,Public In-State,Master's Degree,26484,52968
858,2023,Alabama,Private,Associate Degree,28678,57356
859,2023,Alabama,Private,Bachelor's Degree,54035,216140
860,2023,Alabama,Private,Doctoral Degree,52006,260030
861,2023,Alabama,Private,Master's Degree,45505,91010
862,2023,Alabama,Public In-State,Associate Degree,13324,26648
863,2023,Alabama,Public In-State,Bachelor's Degree,21443,85772
864,2023,Alabama,Public In-State,Doctoral Degree,32642,163210
865,2023,Alabama,Public In-State,Master's Degree,25712,51424
866,2023,Alaska,Private,Associate Degree,29217,58434
867,2023,Alaska,Private,Bachelor's Degree,54736,218944
868,2023,Alaska,Private,Doctoral Degree,58653,293265
869,2023,Alaska,Private,Master's Degree,45338,90676
870,2023,Alaska,Public In-State,Associate Degree,12861,25722
871,2023,Alaska,Public In-State,Bachelor's Degree,21248,84992
872,2023,Alaska,Public In-State,Doctoral Degree,34619,173095
873,2023,Alaska,Public In-State,Master's Degree,26397,52794
874,2023,Arizona,Private,Associate Degree,28649,57298
875,2023,Arizona,Private,Bachelor's Degree,53212,212848
876,2023,Arizona,Private,Doctoral Degree,50536,252680
877,2023,Arizona,Private,Master's Degree,46959,93918
878,2023,Arizona,Public In-State,Associate Degree,13800,27600
879,2023,Arizona,Public In-State,Bachelor's Degree,21921,87684
880,2023,Arizona,Public In-State,Doctoral Degree,35545,177725
881,2023,Arizona,Public In-State,Master's Degree,25726,51452
882,2023,Arkansas,Private,Associate Degree,27343,54686
883,2023,Arkansas,Private,Bachelor's Degree,55454,221816
884,2023,Arkansas,Private,Doctoral Degree,58034,290170
885,2023,Arkansas,Private,Master's Degree,46867,93734
886,2023,Arkansas,Public In-State,Associate Degree,13875,27750
887,2023,Arkansas,Public In-State,Bachelor's Degree,22496,89984
888,2023,Arkansas,Public In-State,Doctoral Degree,32294,161470
889,2023,Arkansas,Public In-State,Master's Degree,25303,50606
890,2023,California,Private,Associate Degree,29293,58586
891,2023,California,Private,Bachelor's Degree,50204,200816
892,2023,California,Private,Doctoral Degree,53137,265685
893,2023,California,Private,Master's Degree,45835,91670
894,2023,California,Public In-State,Associate Degree,13400,26800
895,2023,California,Public In-State,Bachelor's Degree,20616,82464
896,2023,California,Public In-State,Doctoral Degree,36532,182660
897,2023,California,Public In-State,Master's Degree,25598,51196
898,2023,Colorado,Private,Associate Degree,29279,58558
899,2023,Colorado,Private,Bachelor's Degree,53327,213308
900,2023,Colorado,Private,Doctoral Degree,53948,269740
901,2023,Colorado,Private,Master's Degree,42785,85570
902,2023,Colorado,Public In-State,Associate Degree,13591,27182
903,2023,Colorado,Public In-State,Bachelor's Degree,22257,89028
904,2023,Colorado,Public In-State,Doctoral Degree,35593,177965
905,2023,Colorado,Public In-State,Master's Degree,25463,50926
906,2023,Connecticut,Private,Associate Degree,28161,56322
907,2023,Connecticut,Private,Bachelor's Degree,51097,204388
908,2023,Connecticut,Private,Doctoral Degree,51612,258060
909,2023,Connecticut,Private,Master's Degree,44419,88838
910,2023,Connecticut,Public In-State,Associate Degree,13469,26938
911,2023,Connecticut,Public In-State,Bachelor's Degree,20354,81416
912,2023,Connecticut,Public In-State,Doctoral Degree,36800,184000
913,2023,Connecticut,Public In-State,Master's Degree,25038,50076
914,2023,Delaware,Private,Associate Degree,29086,58172
915,2023,Delaware,Private,Bachelor's Degree,54867,219468
916,2023,Delaware,Private,Doctoral Degree,57893,289465
917,2023,Delaware,Private,Master's Degree,48425,96850
918,2023,Delaware,Public In-State,Associate Degree,13014,26028
919,2023,Delaware,Public In-State,Bachelor's Degree,21640,86560
920,2023,Delaware,Public In-State,Doctoral Degree,35002,175010
921,2023,Delaware,Public In-State,Master's Degree,26623,53246
922,2023,District of Columbia,Private,Associate Degree,29679,59358
923,2023,District of Columbia,Private,Bachelor's Degree,51867,207468
924,2023,District of Columbia,Private,Doctoral Degree,52044,260220
925,2023,District of Columbia,Private,Master's Degree,41339,82678
926,2023,District of Columbia,Public In-State,Associate Degree,13495,26990
927,2023,District of Columbia,Public In-State,Bachelor's Degree,23080,92320
928,2023,District of Columbia,Public In-State,Doctoral Degree,35101,175505
929,2023,District of Columbia,Public In-State,Master's Degree,24742,49484
930,2023,Florida,Private,Associate Degree,28026,56052
931,2023,Florida,Private,Bachelor's Degree,50664,202656
932,2023,Florida,Private,Doctoral Degree,58078,290390
933,2023,Florida,Private,Master's Degree,44979,89958
934,2023,Florida,Public In-State,Associate Degree,13596,27192
