CareerField,CareerLevel,EducationLevel,MonthlyIncome
Retail,Senior,Master's Degree,7712
Forestry,Entry,Master's Degree,8355
Real Estate,Mid,Bachelor's Degree,6582
Logistics,Entry,High School,3226
Construction,Mid,Bachelor's Degree,7793
Retail,Mid,Bachelor's Degree,6196
Defense,Senior,Bachelor's Degree,7837
Fishing,Entry,High School,4477
Technology,Senior,High School,4355
Legal,Mid,Associate Degree,4702
Mining,Entry,Associate Degree,3985
Education,Mid,Associate Degree,5350
Retail,Mid,Associate Degree,3963
Mining,Entry,Master's Degree,9422
Legal,Mid,High School,4553
Fishing,Mid,Bachelor's Degree,6088
Retail,Mid,Associate Degree,4913
Finance,Entry,Bachelor's Degree,7450
Fishing,Entry,High School,3426
Education,Entry,Bachelor's Degree,5846
Transportation,Senior,Associate Degree,5420
Technology,Entry,Associate Degree,5564
Energy,Mid,PhD,10058
Energy,Senior,Master's Degree,6716
Legal,Entry,Master's Degree,8540
Finance,Entry,High School,4244
Retail,Mid,Bachelor's Degree,5658
Technology,Senior,Bachelor's Degree,6031
Manufacturing,Entry,Associate Degree,4942
Technology,Mid,Bachelor's Degree,5477
Real Estate,Mid,Bachelor's Degree,6367
Education,Mid,Master's Degree,8325
Government,Entry,Associate Degree,4494
Transportation,Entry,Associate Degree,5291
Healthcare,Senior,Bachelor's Degree,6248
Mining,Entry,Master's Degree,9136
Retail,Senior,Bachelor's Degree,7021
Real Estate,Entry,High School,3754
Transportation,Senior,Associate Degree,3845
Manufacturing,Senior,Associate Degree,3930
Energy,Entry,Associate Degree,4361
Government,Senior,Master's Degree,9263
Forestry,Mid,Bachelor's Degree,7589
Logistics,Senior,High School,4663
Agriculture,Entry,Master's Degree,7916
Forestry,Entry,Associate Degree,4583
Manufacturing,Entry,Bachelor's Degree,6701
Education,Mid,High School,4823
Logistics,Mid,Bachelor's Degree,6304
Fishing,Entry,Associate Degree,4506
Finance,Senior,High School,4033
Real Estate,Mid,PhD,9523
Fishing,Mid,Master's Degree,7683
Energy,Entry,Bachelor's Degree,7133
Defense,Mid,Master's Degree,8974
Transportation,Senior,Associate Degree,5052
Logistics,Mid,Master's Degree,8897
Finance,Mid,Bachelor's Degree,6159
Agriculture,Mid,High School,3340
Agriculture,Mid,Associate Degree,5528
Real Estate,Mid,PhD,10544
Defense,Entry,Associate Degree,5064
Media,Entry,Associate Degree,3813
Transportation,Mid,Bachelor's Degree,7214
Healthcare,Entry,Master's Degree,8582
Defense,Mid,Master's Degree,9255
Healthcare,Mid,Associate Degree,5227
Construction,Entry,High School,3246
Engineering,Mid,Associate Degree,4813
Healthcare,Mid,High School,3458
Media,Entry,Bachelor's Degree,5758
Finance,Senior,Master's Degree,7230
Forestry,Entry,Master's Degree,8725
Healthcare,Mid,Associate Degree,4288
Finance,Senior,Associate Degree,4254
Retail,Entry,Bachelor's Degree,6363
Real Estate,Senior,PhD,11075
Fishing,Mid,Associate Degree,4556
Transportation,Senior,PhD,9214
Healthcare,Mid,High School,3228
Technology,Mid,Associate Degree,5055
Transportation,Entry,Bachelor's Degree,6837
Logistics,Mid,Bachelor's Degree,7461
Agriculture,Mid,Master's Degree,7778
Media,Entry,High School,3271
Forestry,Mid,Associate Degree,5149
Retail,Entry,Bachelor's Degree,7636
Manufacturing,Entry,Master's Degree,6645
Defense,Mid,High School,3879
Forestry,Mid,PhD,9161
Real Estate,Senior,Bachelor's Degree,6638
Government,Mid,PhD,10711
Energy,Mid,Master's Degree,8035
Legal,Entry,PhD,10330
Real Estate,Senior,Bachelor's Degree,7675
Technology,Mid,Bachelor's Degree,6878
Government,Entry,Master's Degree,7907
Finance,Mid,Bachelor's Degree,7528
Retail,Senior,Bachelor's Degree,7266
Retail,Entry,Associate Degree,4289
Government,Senior,Master's Degree,9492
Construction,Mid,Master's Degree,7980
Construction,Mid,Associate Degree,4119
Fishing,Mid,Associate Degree,3838
Media,Entry,PhD,10103
Mining,Senior,Master's Degree,6662
Energy,Entry,Bachelor's Degree,7161
Healthcare,Mid,Master's Degree,7537
Logistics,Mid,Associate Degree,5435
Fishing,Entry,Bachelor's Degree,7304
Real Estate,Senior,PhD,8318
Forestry,Mid,Associate Degree,5560
Government,Mid,Bachelor's Degree,7985
Education,Entry,High School,3678
Media,Mid,Bachelor's Degree,7852
Real Estate,Mid,Bachelor's Degree,6313
Healthcare,Entry,Associate Degree,5288
Healthcare,Entry,Master's Degree,6559
Manufacturing,Entry,High School,4764
Energy,Entry,Master's Degree,7272
Forestry,Mid,Bachelor's Degree,5409
Transportation,Entry,High School,4682
Transportation,Mid,Associate Degree,5333
Education,Senior,High School,4209
Transportation,Mid,Master's Degree,8456
Legal,Entry,Associate Degree,5587
Education,Entry,Bachelor's Degree,6847
Transportation,Senior,Bachelor's Degree,6495
Forestry,Mid,High School,4530
Technology,Entry,Master's Degree,6948
Retail,Mid,Associate Degree,5675
Forestry,Entry,Associate Degree,4088
Media,Mid,Master's Degree,6841
Energy,Mid,Master's Degree,6785
Media,Mid,High School,3572
Engineering,Mid,Master's Degree,8957
Construction,Entry,High School,3359
Education,Entry,Master's Degree,8619
Logistics,Senior,Bachelor's Degree,6230
Construction,Mid,High School,3387
Media,Entry,Master's Degree,8412
Legal,Mid,Bachelor's Degree,7345
Agriculture,Entry,Bachelor's Degree,5904
Construction,Entry,Master's Degree,6521
Logistics,Mid,Bachelor's Degree,5681
Media,Mid,Bachelor's Degree,6449
Agriculture,Entry,Master's Degree,7887
Forestry,Entry,Bachelor's Degree,6810
Fishing,Senior,Bachelor's Degree,6655
Healthcare,Entry,Bachelor's Degree,6403
Logistics,Senior,Master's Degree,6494
Real Estate,Senior,Bachelor's Degree,5864
Healthcare,Senior,Bachelor's Degree,6423
Mining,Mid,High School,3659
Manufacturing,Senior,PhD,9857
Real Estate,Entry,High School,3595
Mining,Entry,Associate Degree,5000
Agriculture,Mid,Bachelor's Degree,6886
Media,Mid,PhD,8053
Engineering,Mid,Bachelor's Degree,7373
Mining,Entry,PhD,10971
Mining,Entry,High School,3521
Legal,Mid,Bachelor's Degree,6702
Technology,Mid,Associate Degree,4026
Fishing,Mid,High School,4138
Manufacturing,Entry,High School,4143
Legal,Entry,Associate Degree,5695
Manufacturing,Mid,Bachelor's Degree,5662
Education,Mid,High School,3317
Manufacturing,Mid,Bachelor's Degree,6028
Fishing,Mid,High School,4047
Forestry,Entry,Associate Degree,4253
Forestry,Mid,Master's Degree,7053
Transportation,Mid,High School,4315
Healthcare,Mid,Bachelor's Degree,5547
Government,Entry,Bachelor's Degree,5404
Education,Mid,High School,3426
Education,Mid,PhD,11703
Transportation,Entry,Master's Degree,8803
Transportation,Mid,Bachelor's Degree,6222
Logistics,Mid,Bachelor's Degree,7340
Logistics,Senior,Bachelor's Degree,7296
Technology,Entry,Associate Degree,5044
Legal,Entry,Associate Degree,5220
Manufacturing,Senior,Bachelor's Degree,7185
Transportation,Entry,Associate Degree,4624
Defense,Mid,Associate Degree,4487
Legal,Mid,Associate Degree,4290
Real Estate,Entry,Bachelor's Degree,7030
Manufacturing,Mid,Bachelor's Degree,6860
Mining,Mid,High School,4075
Media,Entry,High School,3617
Agriculture,Mid,Bachelor's Degree,6572
Education,Mid,PhD,8671
Fishing,Mid,Master's Degree,6481
Logistics,Senior,Master's Degree,7517
Forestry,Entry,Associate Degree,5113
Manufacturing,Mid,Associate Degree,3829
Logistics,Mid,PhD,11513
Healthcare,Senior,Master's Degree,6739
Education,Entry,Associate Degree,5601
Defense,Mid,Associate Degree,4380
Mining,Mid,Bachelor's Degree,5542
Construction,Senior,Bachelor's Degree,5528
Legal,Entry,High School,3489
Technology,Mid,Bachelor's Degree,7309
Healthcare,Mid,Master's Degree,8588
Real Estate,Entry,High School,4359
Real Estate,Entry,Master's Degree,7059
Healthcare,Senior,High School,4003
Engineering,Entry,Master's Degree,7431
Defense,Mid,High School,4757
Construction,Entry,High School,3621
Engineering,Senior,Associate Degree,5526
Construction,Entry,Associate Degree,4837
Retail,Mid,Associate Degree,5714
Retail,Mid,High School,4744
Transportation,Senior,Bachelor's Degree,7887
Mining,Mid,Master's Degree,6603
Legal,Mid,High School,3716
Real Estate,Entry,Associate Degree,5612
Media,Mid,Bachelor's Degree,7080
Fishing,Entry,Associate Degree,4944
Education,Mid,Associate Degree,4233
Fishing,Entry,Master's Degree,9333
Manufacturing,Entry,Bachelor's Degree,5515
Government,Senior,Master's Degree,6394
Agriculture,Mid,Bachelor's Degree,7403
Government,Mid,PhD,9655
Education,Mid,Master's Degree,9524
Defense,Entry,Bachelor's Degree,7598
Agriculture,Mid,Associate Degree,5714
Logistics,Entry,Bachelor's Degree,6367
Technology,Entry,Associate Degree,4509
Energy,Entry,Associate Degree,4433
Logistics,Senior,High School,3628
Transportation,Entry,Master's Degree,7303
Agriculture,Entry,Bachelor's Degree,5877
Technology,Entry,Associate Degree,5691
Transportation,Senior,Bachelor's Degree,7452
Fishing,Mid,Bachelor's Degree,7185
Mining,Senior,Associate Degree,4172
Mining,Entry,Associate Degree,4956
Retail,Entry,Bachelor's Degree,7387
Technology,Senior,Bachelor's Degree,6305
Finance,Mid,High School,3607
Education,Entry,High School,4022
Finance,Entry,Bachelor's Degree,7291
Engineering,Mid,Associate Degree,5585
Legal,Mid,Bachelor's Degree,5405
Agriculture,Entry,Bachelor's Degree,5886
Education,Senior,Associate Degree,5650
Transportation,Senior,Bachelor's Degree,7676
Agriculture,Mid,Master's Degree,9333
Education,Entry,Associate Degree,4550
Legal,Entry,Bachelor's Degree,6260
Technology,Senior,Bachelor's Degree,7353
Education,Senior,Master's Degree,9330
Defense,Senior,Master's Degree,9258
Forestry,Senior,Bachelor's Degree,6791
Government,Mid,Associate Degree,4271
Media,Entry,Associate Degree,5408
Logistics,Senior,High School,3395
Media,Entry,Bachelor's Degree,6290
Logistics,Entry,Associate Degree,3936
Fishing,Mid,Associate Degree,4493
Government,Entry,High School,4510
Logistics,Entry,Bachelor's Degree,7774
Logistics,Mid,Master's Degree,8495
Media,Senior,Associate Degree,5181
Transportation,Senior,Associate Degree,5331
Engineering,Entry,High School,3323
Agriculture,Senior,Associate Degree,5210
Legal,Mid,Bachelor's Degree,6634
Government,Entry,High School,4510
Technology,Mid,Associate Degree,4861
Education,Entry,Master's Degree,9344
Construction,Mid,High School,3516
Energy,Mid,High School,3348
Real Estate,Senior,Master's Degree,8194
Energy,Entry,Bachelor's Degree,6308
Agriculture,Mid,Master's Degree,8792
Defense,Mid,Associate Degree,3993
Construction,Entry,High School,3224
Retail,Entry,Bachelor's Degree,5452
Education,Mid,Master's Degree,6509
Finance,Entry,High School,4012
Logistics,Entry,Associate Degree,4451
Agriculture,Mid,Master's Degree,6683
Real Estate,Senior,Master's Degree,6483
Energy,Mid,Bachelor's Degree,5361
Government,Entry,Associate Degree,4227
Agriculture,Senior,Master's Degree,6413
Technology,Senior,Associate Degree,4709
Engineering,Entry,Associate Degree,4494
Retail,Entry,Bachelor's Degree,6544
Media,Senior,Bachelor's Degree,7090
Engineering,Entry,Bachelor's Degree,6217
Real Estate,Mid,Bachelor's Degree,6268
Real Estate,Entry,High School,4676
Government,Entry,Master's Degree,7626
Finance,Mid,Master's Degree,6652
Government,Entry,High School,3854
Government,Entry,Bachelor's Degree,6124
Agriculture,Senior,Bachelor's Degree,7844
Healthcare,Mid,Master's Degree,6721
Healthcare,Mid,High School,4753
Forestry,Mid,High School,3254
Construction,Entry,Master's Degree,6919
Healthcare,Senior,Bachelor's Degree,7844
Manufacturing,Entry,Bachelor's Degree,6402
Technology,Entry,Master's Degree,7792
Fishing,Entry,Master's Degree,6578
Education,Entry,Bachelor's Degree,7475
Healthcare,Entry,High School,3474
Construction,Entry,Bachelor's Degree,6053
Engineering,Mid,Master's Degree,7909
Transportation,Entry,Bachelor's Degree,5677
Education,Mid,Bachelor's Degree,5624
Fishing,Entry,High School,4087
Fishing,Senior,Master's Degree,8545
Finance,Mid,Associate Degree,4760
Agriculture,Senior,High School,3544
Defense,Mid,Master's Degree,8914
Energy,Mid,High School,3500
Energy,Senior,High School,3893
Finance,Mid,Associate Degree,4260
Real Estate,Mid,Bachelor's Degree,6949
Media,Mid,Associate Degree,5209
Government,Entry,Associate Degree,4544
Education,Entry,Bachelor's Degree,6218
Energy,Entry,Master's Degree,6943
Construction,Mid,Master's Degree,7333
Government,Mid,Master's Degree,8680
Legal,Mid,Associate Degree,5005
Mining,Mid,Bachelor's Degree,7089
Defense,Entry,PhD,9782
Media,Entry,High School,4259
Transportation,Mid,Associate Degree,3921
Forestry,Entry,Master's Degree,7466
Government,Senior,Bachelor's Degree,7649
Media,Mid,Associate Degree,4655
Government,Senior,Bachelor's Degree,6417
Real Estate,Mid,Bachelor's Degree,6068
Government,Entry,Associate Degree,5057
Transportation,Entry,Master's Degree,7851
Mining,Mid,High School,3262
Finance,Mid,Associate Degree,5301
Real Estate,Mid,High School,3716
Forestry,Entry,Bachelor's Degree,7919
Government,Senior,Bachelor's Degree,7257
Logistics,Mid,High School,4626
Manufacturing,Mid,Master's Degree,7240
Government,Senior,Associate Degree,4735
Energy,Entry,Bachelor's Degree,7387
Transportation,Mid,Associate Degree,5691
Defense,Mid,Bachelor's Degree,5620
Technology,Mid,Bachelor's Degree,5924
Logistics,Entry,Associate Degree,5353
Fishing,Entry,Master's Degree,6405
Government,Senior,Bachelor's Degree,6261
Fishing,Mid,Master's Degree,8781
Forestry,Mid,Associate Degree,5027
Forestry,Entry,Bachelor's Degree,5617
Finance,Mid,Master's Degree,7694
Retail,Entry,Associate Degree,5533
Mining,Mid,High School,4676
Legal,Mid,High School,3658
Technology,Mid,High School,3329
Agriculture,Entry,High School,4752
Manufacturing,Entry,Bachelor's Degree,6378
Defense,Entry,Associate Degree,3945
Construction,Mid,Bachelor's Degree,7743
Construction,Senior,Master's Degree,7011
Media,Mid,Bachelor's Degree,5812
Government,Mid,Associate Degree,4086
Mining,Mid,Bachelor's Degree,7502
Mining,Mid,PhD,7919
Agriculture,Senior,Bachelor's Degree,7441
Real Estate,Entry,Associate Degree,5255
Energy,Mid,High School,4197
Education,Mid,Associate Degree,4694
Healthcare,Senior,Master's Degree,6914
Engineering,Mid,Bachelor's Degree,5586
Logistics,Mid,Bachelor's Degree,7681
Mining,Senior,Bachelor's Degree,7499
Agriculture,Mid,Bachelor's Degree,7690
Retail,Mid,High School,4212
Finance,Senior,High School,4558
Agriculture,Entry,High School,4279
Education,Mid,Bachelor's Degree,6171
Agriculture,Entry,Associate Degree,4936
Finance,Mid,Bachelor's Degree,7220
Logistics,Senior,High School,4354
Legal,Mid,Bachelor's Degree,6652
Fishing,Mid,Bachelor's Degree,6907
Finance,Mid,Bachelor's Degree,7027
Finance,Entry,Associate Degree,5240
Defense,Entry,Master's Degree,9127
Logistics,Entry,Master's Degree,7214
Healthcare,Senior,Master's Degree,8170
Real Estate,Mid,Bachelor's Degree,6791
Energy,Entry,High School,3895
Manufacturing,Senior,Associate Degree,4792
Agriculture,Entry,Bachelor's Degree,5653
Fishing,Mid,Bachelor's Degree,5635
Real Estate,Entry,High School,4389
Forestry,Mid,Master's Degree,9464
Forestry,Entry,High School,4748
Logistics,Entry,High School,4114
Energy,Entry,Associate Degree,5683
Finance,Mid,Bachelor's Degree,6869
Real Estate,Senior,Bachelor's Degree,6074
Education,Entry,Bachelor's Degree,7031
Legal,Senior,High School,4133
Retail,Mid,Bachelor's Degree,5998
Technology,Mid,High School,4102
Logistics,Mid,Associate Degree,4894
Finance,Mid,Bachelor's Degree,6574
Real Estate,Entry,High School,4175
Defense,Entry,Bachelor's Degree,7636
Forestry,Entry,Bachelor's Degree,6735
Legal,Mid,Bachelor's Degree,5375
Transportation,Mid,High School,4198
Finance,Mid,Associate Degree,5603
Construction,Mid,Bachelor's Degree,6856
Finance,Mid,Bachelor's Degree,5600
Media,Senior,Bachelor's Degree,6941
Media,Senior,PhD,9439
Real Estate,Mid,Master's Degree,9514
Education,Mid,Master's Degree,8560
Retail,Entry,Master's Degree,7033
Real Estate,Entry,Bachelor's Degree,7543
Technology,Entry,Bachelor's Degree,6518
Legal,Entry,Bachelor's Degree,5585
Agriculture,Mid,Bachelor's Degree,7860
Healthcare,Mid,Master's Degree,9565
Fishing,Entry,Master's Degree,8733
Transportation,Mid,Associate Degree,5460
Retail,Entry,Associate Degree,5646
Logistics,Mid,Associate Degree,5060
Retail,Entry,High School,4181
Agriculture,Entry,High School,4188
Construction,Entry,Bachelor's Degree,6090
Energy,Mid,Master's Degree,9108
Education,Senior,High School,3397
Technology,Entry,High School,4632
Finance,Entry,Associate Degree,4529
Forestry,Entry,Associate Degree,4984
Fishing,Mid,Master's Degree,6462
Education,Senior,Bachelor's Degree,5593
Healthcare,Mid,PhD,10841
Government,Entry,Bachelor's Degree,6116
Construction,Senior,Associate Degree,5263
Forestry,Mid,Bachelor's Degree,6905
Legal,Senior,Bachelor's Degree,7475
Manufacturing,Mid,PhD,10045
Legal,Entry,Associate Degree,5713
Defense,Mid,Bachelor's Degree,7336
Healthcare,Entry,High School,3467
Real Estate,Entry,Master's Degree,7980
Education,Entry,High School,4394
Government,Entry,Master's Degree,6930
Energy,Senior,Master's Degree,8531
Logistics,Entry,Bachelor's Degree,7364
Real Estate,Senior,Bachelor's Degree,7166
Manufacturing,Entry,Associate Degree,4517
Government,Mid,High School,3989
Agriculture,Entry,Bachelor's Degree,7264
Legal,Mid,Master's Degree,6635
Mining,Entry,Associate Degree,4170
Retail,Senior,Bachelor's Degree,7025
Education,Entry,Associate Degree,5109
Defense,Entry,Bachelor's Degree,6618
Energy,Mid,Bachelor's Degree,7839
Legal,Mid,Associate Degree,5325
Education,Mid,Bachelor's Degree,5842
Mining,Senior,Bachelor's Degree,6063
Technology,Mid,Associate Degree,5713
Media,Mid,Bachelor's Degree,7238
Engineering,Senior,PhD,8468
Defense,Entry,Associate Degree,4843
Transportation,Entry,Bachelor's Degree,6711
Legal,Mid,Associate Degree,5693
Construction,Entry,High School,3698
Manufacturing,Senior,High School,3720
Technology,Entry,Master's Degree,8128
Education,Mid,Associate Degree,4904
Manufacturing,Senior,Master's Degree,8336
Retail,Entry,Bachelor's Degree,5768
Forestry,Mid,Bachelor's Degree,7473
Education,Mid,Bachelor's Degree,6113
Forestry,Mid,Associate Degree,3975
Engineering,Entry,High School,3328
Manufacturing,Entry,PhD,11803
Energy,Entry,High School,4559
Legal,Mid,Bachelor's Degree,5753
Technology,Entry,High School,3969
Education,Entry,Bachelor's Degree,7623
Agriculture,Mid,Associate Degree,5257
Energy,Entry,Bachelor's Degree,6575
Education,Entry,Master's Degree,6782
Defense,Entry,Master's Degree,8945
Mining,Senior,Associate Degree,4737
Construction,Entry,Associate Degree,4774
Transportation,Entry,High School,3902
Transportation,Mid,PhD,11468
Engineering,Senior,High School,4191
Fishing,Mid,Bachelor's Degree,6496
Government,Entry,Bachelor's Degree,6027
Real Estate,Entry,Master's Degree,8518
Agriculture,Entry,Master's Degree,8262
Technology,Entry,Bachelor's Degree,7527
Healthcare,Senior,High School,3265
Energy,Entry,High School,3561
Engineering,Mid,High School,4528
Education,Mid,Master's Degree,6718
Technology,Entry,Bachelor's Degree,6696
Healthcare,Entry,Bachelor's Degree,5932
Retail,Entry,Associate Degree,5403
Real Estate,Mid,Bachelor's Degree,6992
Technology,Entry,Bachelor's Degree,6021
Mining,Mid,High School,4182
Construction,Senior,High School,4581
Retail,Entry,Associate Degree,5433
Real Estate,Mid,Bachelor's Degree,6252
Fishing,Entry,Bachelor's Degree,6956
Mining,Entry,Bachelor's Degree,5731
Technology,Entry,Associate Degree,3986
Media,Entry,Bachelor's Degree,6232
Finance,Senior,Bachelor's Degree,7291
Logistics,Senior,Bachelor's Degree,5649
Education,Mid,Master's Degree,7485
Legal,Mid,Bachelor's Degree,7770
Legal,Senior,High School,4308
Healthcare,Mid,Bachelor's Degree,6314
Defense,Entry,PhD,9971
Logistics,Mid,Bachelor's Degree,7745
Logistics,Mid,Master's Degree,6435
Manufacturing,Entry,Associate Degree,5696
Construction,Senior,High School,3661
Logistics,Mid,High School,4670
Real Estate,Mid,Bachelor's Degree,6327
Fishing,Senior,Bachelor's Degree,5613
Healthcare,Entry,Associate Degree,5220
Retail,Entry,High School,3898
Agriculture,Mid,Bachelor's Degree,5519
Logistics,Entry,Bachelor's Degree,6682
Real Estate,Mid,Bachelor's Degree,7333
Legal,Senior,High School,3260
Transportation,Senior,Associate Degree,4639
Real Estate,Entry,High School,4624
Media,Mid,Master's Degree,8329
Manufacturing,Senior,High School,4109
Engineering,Mid,Associate Degree,5428
Manufacturing,Entry,Bachelor's Degree,7286
Government,Entry,Master's Degree,7904
Forestry,Entry,Bachelor's Degree,6092
Retail,Entry,High School,3493
Engineering,Entry,Master's Degree,8741
Fishing,Mid,Master's Degree,8688
Education,Entry,Bachelor's Degree,6125
Mining,Entry,Bachelor's Degree,6689
Manufacturing,Mid,Associate Degree,5296
Education,Mid,Master's Degree,6573
Transportation,Entry,High School,4078
Logistics,Mid,Master's Degree,9399
Mining,Mid,High School,4809
Real Estate,Mid,Bachelor's Degree,7290
Manufacturing,Mid,Bachelor's Degree,7786
Logistics,Mid,Master's Degree,7560
Real Estate,Mid,Bachelor's Degree,6370
Transportation,Entry,Bachelor's Degree,7030
Legal,Senior,Associate Degree,5592
Defense,Entry,Master's Degree,8924
Media,Senior,Associate Degree,4919
Real Estate,Senior,Master's Degree,8720
Retail,Entry,High School,4106
Logistics,Senior,Associate Degree,3929
Legal,Entry,High School,3487
Manufacturing,Senior,Associate Degree,4051
Transportation,Entry,Bachelor's Degree,6333
Retail,Senior,Bachelor's Degree,5787
Energy,Mid,Bachelor's Degree,6840
Technology,Entry,Bachelor's Degree,6140
Agriculture,Entry,Associate Degree,4597
Forestry,Entry,Master's Degree,7465
Agriculture,Entry,High School,3682
Real Estate,Mid,Master's Degree,6784
Energy,Entry,High School,3767
Engineering,Mid,High School,4822
Education,Senior,Master's Degree,9101
Government,Entry,High School,3289
Retail,Senior,Bachelor's Degree,6018
Construction,Mid,Bachelor's Degree,5808
Healthcare,Mid,Associate Degree,4055
Mining,Senior,Bachelor's Degree,7573
Finance,Senior,Master's Degree,6513
Real Estate,Senior,Bachelor's Degree,5660
Construction,Senior,Master's Degree,7613
Legal,Entry,High School,4830
Technology,Entry,Master's Degree,8875
Logistics,Senior,Bachelor's Degree,7301
Media,Mid,High School,3784
Real Estate,Senior,Associate Degree,5508
Logistics,Senior,Bachelor's Degree,6373
Healthcare,Entry,Associate Degree,5600
Government,Entry,Master's Degree,8764
Mining,Entry,Associate Degree,5553
Retail,Mid,Associate Degree,5663
Defense,Mid,Master's Degree,6444
Mining,Senior,Bachelor's Degree,6112
Construction,Entry,Associate Degree,4484
Energy,Mid,High School,4469
Energy,Entry,Bachelor's Degree,5352
Mining,Mid,Master's Degree,8526
Defense,Entry,High School,3295
Education,Mid,Associate Degree,5431
Engineering,Mid,Associate Degree,5429
Transportation,Entry,Bachelor's Degree,6801
Agriculture,Senior,Associate Degree,5660
Retail,Mid,Bachelor's Degree,6648
Defense,Senior,High School,4775
Defense,Senior,Associate Degree,4743
Agriculture,Entry,Bachelor's Degree,7441
Transportation,Mid,Master's Degree,8266
Technology,Entry,Bachelor's Degree,7308
Forestry,Senior,Master's Degree,6803
Healthcare,Mid,Bachelor's Degree,6398
Technology,Entry,Associate Degree,4634
Forestry,Mid,Master's Degree,7083
Real Estate,Mid,Master's Degree,7513
Technology,Senior,High School,4658
Defense,Entry,Associate Degree,4075
Defense,Entry,High School,3271
Media,Senior,Bachelor's Degree,6529
Logistics,Mid,Bachelor's Degree,7548
Education,Mid,Master's Degree,7204
Logistics,Senior,Bachelor's Degree,7540
Media,Mid,Bachelor's Degree,7238
Real Estate,Senior,Bachelor's Degree,6734
Logistics,Entry,Master's Degree,8868
Construction,Senior,Associate Degree,3814
Agriculture,Entry,Bachelor's Degree,7132
Real Estate,Mid,Associate Degree,5081
Agriculture,Senior,Bachelor's Degree,6670
Defense,Mid,Bachelor's Degree,5389
Fishing,Senior,High School,4248
Finance,Mid,Master's Degree,7516
Education,Senior,High School,4039
Legal,Mid,Bachelor's Degree,5897
Mining,Entry,High School,3801
Logistics,Entry,Master's Degree,8815
Healthcare,Mid,Associate Degree,5439
Construction,Entry,Master's Degree,8065
Engineering,Mid,High School,4092
Logistics,Entry,High School,3925
Energy,Senior,Associate Degree,5031
Mining,Mid,Bachelor's Degree,7567
Construction,Senior,Associate Degree,5432
Media,Mid,High School,4761
Fishing,Senior,Bachelor's Degree,7714
Legal,Senior,Master's Degree,7949
Engineering,Entry,Bachelor's Degree,7240
Retail,Entry,Bachelor's Degree,5445
Mining,Mid,Associate Degree,5132
Defense,Mid,Bachelor's Degree,6460
Legal,Mid,Master's Degree,6618
Media,Entry,Bachelor's Degree,7176
Healthcare,Senior,Bachelor's Degree,7657
Legal,Entry,Bachelor's Degree,6326
Manufacturing,Entry,Associate Degree,4858
Education,Senior,High School,4805
Logistics,Mid,Associate Degree,4756
Finance,Entry,Master's Degree,7609
Retail,Entry,PhD,10041
Agriculture,Senior,Bachelor's Degree,7989
Government,Entry,Master's Degree,6909
Energy,Mid,High School,3301
Construction,Mid,Associate Degree,4310
Agriculture,Entry,High School,4236
Retail,Mid,Associate Degree,5653
Forestry,Mid,Bachelor's Degree,7278
Education,Mid,Master's Degree,7420
Legal,Mid,Bachelor's Degree,7689
Legal,Entry,High School,4058
Retail,Entry,High School,3430
Construction,Entry,Bachelor's Degree,7962
Agriculture,Mid,High School,3239
Defense,Mid,Bachelor's Degree,6208
Transportation,Mid,Associate Degree,4664
Defense,Mid,Associate Degree,4640
Retail,Senior,Bachelor's Degree,5836
Education,Mid,Associate Degree,4126
Mining,Mid,Bachelor's Degree,6707
Finance,Entry,Bachelor's Degree,5642
Finance,Senior,Bachelor's Degree,7236
Manufacturing,Mid,Master's Degree,7096
Logistics,Mid,Bachelor's Degree,7685
Transportation,Mid,Bachelor's Degree,5747
Healthcare,Entry,PhD,10386
Real Estate,Mid,Bachelor's Degree,6666
Mining,Mid,Master's Degree,8898
Government,Entry,High School,4236
Technology,Mid,Bachelor's Degree,7104
Manufacturing,Mid,High School,3385
Finance,Mid,Bachelor's Degree,6207
Engineering,Mid,Bachelor's Degree,7387
Forestry,Entry,Bachelor's Degree,6463
Fishing,Senior,Master's Degree,7100
Engineering,Entry,Associate Degree,4555
Healthcare,Mid,Bachelor's Degree,5635
Logistics,Entry,Bachelor's Degree,7385
Media,Entry,Associate Degree,4554
Energy,Entry,Associate Degree,4578
Transportation,Senior,Master's Degree,8223
Media,Entry,High School,4762
Logistics,Entry,Bachelor's Degree,7502
Transportation,Mid,High School,4106
Technology,Entry,Bachelor's Degree,6394
Finance,Senior,Bachelor's Degree,7698
Energy,Mid,Bachelor's Degree,5583
Transportation,Entry,Master's Degree,9338
Energy,Mid,High School,4817
Real Estate,Entry,Associate Degree,5421
Healthcare,Mid,Master's Degree,8074
Education,Entry,Associate Degree,4393
Retail,Entry,Bachelor's Degree,5825
Real Estate,Mid,Bachelor's Degree,7143
Fishing,Mid,Bachelor's Degree,7128
Manufacturing,Mid,Bachelor's Degree,6232
Forestry,Mid,Bachelor's Degree,5501
Real Estate,Senior,Master's Degree,8602
Government,Mid,High School,4582
Fishing,Entry,Associate Degree,3896
Construction,Mid,Master's Degree,8000
Healthcare,Mid,Associate Degree,4212
Engineering,Entry,Bachelor's Degree,7383
Real Estate,Mid,PhD,11230
Construction,Mid,Associate Degree,5672
Government,Mid,Master's Degree,8684
Education,Mid,Master's Degree,6865
Transportation,Mid,Associate Degree,4458
Manufacturing,Mid,Associate Degree,5365
Finance,Mid,Associate Degree,4748
Construction,Entry,Associate Degree,4187
