CostID,SchoolYear,SchoolState,EducationLevel,AverageTotalDegreeCost
644,2024,District of Columbia,Master's Degree,73612
645,2024,Florida,Associate Degree,40979
646,2024,Florida,Bachelor's Degree,147002
647,2024,Florida,Doctoral Degree,212368
648,2024,Florida,Master's Degree,76176
649,2024,Georgia,Associate Degree,41815
650,2024,Georgia,Bachelor's Degree,154218
651,2024,Georgia,Doctoral Degree,222315
652,2024,Georgia,Master's Degree,74056
653,2024,Hawaii,Associate Degree,41993
654,2024,Hawaii,Bachelor's Degree,149772
655,2024,Hawaii,Doctoral Degree,225520
656,2024,Hawaii,Master's Degree,70534
657,2024,Idaho,Associate Degree,39921
658,2024,Idaho,Bachelor's Degree,152494
659,2024,Idaho,Doctoral Degree,220928
660,2024,Idaho,Master's Degree,70869
661,2024,Illinois,Associate Degree,40479
662,2024,Illinois,Bachelor's Degree,145304
663,2024,Illinois,Doctoral Degree,233408
664,2024,Illinois,Master's Degree,74738
665,2024,Indiana,Associate Degree,40130
666,2024,Indiana,Bachelor's Degree,140500
667,2024,Indiana,Doctoral Degree,220975
668,2024,Indiana,Master's Degree,67444
669,2024,Iowa,Associate Degree,41522
670,2024,Iowa,Bachelor's Degree,149472
671,2024,Iowa,Doctoral Degree,227788
672,2024,Iowa,Master's Degree,73893
673,2024,Kansas,Associate Degree,41206
674,2024,Kansas,Bachelor's Degree,148628
675,2024,Kansas,Doctoral Degree,216738
676,2024,Kansas,Master's Degree,67028
677,2024,Kentucky,Associate Degree,40806
678,2024,Kentucky,Bachelor's Degree,150902
679,2024,Kentucky,Doctoral Degree,221643
680,2024,Kentucky,Master's Degree,67571
681,2024,Louisiana,Associate Degree,39554
682,2024,Louisiana,Bachelor's Degree,152710
683,2024,Louisiana,Doctoral Degree,209893
684,2024,Louisiana,Master's Degree,71974
685,2024,Maine,Associate Degree,40715
686,2024,Maine,Bachelor's Degree,153984
687,2024,Maine,Doctoral Degree,219420
688,2024,Maine,Master's Degree,72165
689,2024,Maryland,Associate Degree,42193
690,2024,Maryland,Bachelor's Degree,145462
691,2024,Maryland,Doctoral Degree,213168
692,2024,Maryland,Master's Degree,67583
693,2024,Massachusetts,Associate Degree,41678
694,2024,Massachusetts,Bachelor's Degree,144758
695,2024,Massachusetts,Doctoral Degree,227758
696,2024,Massachusetts,Master's Degree,73185
697,2024,Michigan,Associate Degree,42873
698,2024,Michigan,Bachelor's Degree,156992
699,2024,Michigan,Doctoral Degree,226238
700,2024,Michigan,Master's Degree,69915
701,2024,Minnesota,Associate Degree,42361
702,2024,Minnesota,Bachelor's Degree,157488
703,2024,Minnesota,Doctoral Degree,226955
704,2024,Minnesota,Master's Degree,69658
705,2024,Mississippi,Associate Degree,39505
706,2024,Mississippi,Bachelor's Degree,141118
707,2024,Mississippi,Doctoral Degree,222355
708,2024,Mississippi,Master's Degree,70136
709,2024,Missouri,Associate Degree,43402
710,2024,Missouri,Bachelor's Degree,147248
711,2024,Missouri,Doctoral Degree,221933
712,2024,Missouri,Master's Degree,71563
713,2024,Montana,Associate Degree,42485
714,2024,Montana,Bachelor's Degree,152622
715,2024,Montana,Doctoral Degree,227970
716,2024,Montana,Master's Degree,69807
717,2024,Nebraska,Associate Degree,40659
718,2024,Nebraska,Bachelor's Degree,149186
719,2024,Nebraska,Doctoral Degree,207158
720,2024,Nebraska,Master's Degree,73997
721,2024,Nevada,Associate Degree,40524
722,2024,Nevada,Bachelor's Degree,154480
723,2024,Nevada,Doctoral Degree,218208
724,2024,Nevada,Master's Degree,73448
725,2024,New Hampshire,Associate Degree,42502
726,2024,New Hampshire,Bachelor's Degree,151624
727,2024,New Hampshire,Doctoral Degree,225993
728,2024,New Hampshire,Master's Degree,70462
729,2024,New Jersey,Associate Degree,42010
730,2024,New Jersey,Bachelor's Degree,151956
731,2024,New Jersey,Doctoral Degree,220405
732,2024,New Jersey,Master's Degree,71538
733,2024,New Mexico,Associate Degree,42180
734,2024,New Mexico,Bachelor's Degree,150348
735,2024,New Mexico,Doctoral Degree,220855
736,2024,New Mexico,Master's Degree,71526
737,2024,New York,Associate Degree,39355
738,2024,New York,Bachelor's Degree,146260
739,2024,New York,Doctoral Degree,216885
740,2024,New York,Master's Degree,70919
741,2024,North Carolina,Associate Degree,40049
742,2024,North Carolina,Bachelor's Degree,152444
743,2024,North Carolina,Doctoral Degree,211283
744,2024,North Carolina,Master's Degree,69077
745,2024,North Dakota,Associate Degree,42487
746,2024,North Dakota,Bachelor's Degree,153284
747,2024,North Dakota,Doctoral Degree,211060
748,2024,North Dakota,Master's Degree,70365
749,2024,Ohio,Associate Degree,42152
750,2024,Ohio,Bachelor's Degree,150030
751,2024,Ohio,Doctoral Degree,234318
752,2024,Ohio,Master's Degree,68332
753,2024,Oklahoma,Associate Degree,41410
754,2024,Oklahoma,Bachelor's Degree,143800
755,2024,Oklahoma,Doctoral Degree,220033
756,2024,Oklahoma,Master's Degree,70041
757,2024,Oregon,Associate Degree,41842
758,2024,Oregon,Bachelor's Degree,148628
759,2024,Oregon,Doctoral Degree,216400
760,2024,Oregon,Master's Degree,69390
761,2024,Pennsylvania,Associate Degree,42793
762,2024,Pennsylvania,Bachelor's Degree,147088
763,2024,Pennsylvania,Doctoral Degree,224755
764,2024,Pennsylvania,Master's Degree,68992
765,2024,Rhode Island,Associate Degree,41314
766,2024,Rhode Island,Bachelor's Degree,152802
767,2024,Rhode Island,Doctoral Degree,232393
768,2024,Rhode Island,Master's Degree,71080
769,2024,South Carolina,Associate Degree,41937
770,2024,South Carolina,Bachelor's Degree,155774
771,2024,South Carolina,Doctoral Degree,232285
772,2024,South Carolina,Master's Degree,69951
773,2024,South Dakota,Associate Degree,43378
774,2024,South Dakota,Bachelor's Degree,144748
775,2024,South Dakota,Doctoral Degree,218645
776,2024,South Dakota,Master's Degree,73552
777,2024,Tennessee,Associate Degree,42813
778,2024,Tennessee,Bachelor's Degree,153324
779,2024,Tennessee,Doctoral Degree,214598
780,2024,Tennessee,Master's Degree,67593
781,2024,Texas,Associate Degree,41570
782,2024,Texas,Bachelor's Degree,143120
783,2024,Texas,Doctoral Degree,221900
784,2024,Texas,Master's Degree,71626
785,2024,Utah,Associate Degree,42218
786,2024,Utah,Bachelor's Degree,151260
787,2024,Utah,Doctoral Degree,218535
788,2024,Utah,Master's Degree,69898
789,2024,Vermont,Associate Degree,41276
790,2024,Vermont,Bachelor's Degree,144140
791,2024,Vermont,Doctoral Degree,211830
792,2024,Vermont,Master's Degree,70022
793,2024,Virginia,Associate Degree,42375
794,2024,Virginia,Bachelor's Degree,157932
795,2024,Virginia,Doctoral Degree,225590
796,2024,Virginia,Master's Degree,68235
797,2024,Washington,Associate Degree,43376
798,2024,Washington,Bachelor's Degree,145080
799,2024,Washington,Doctoral Degree,231023
800,2024,Washington,Master's Degree,68547
801,2024,West Virginia,Associate Degree,41724
802,2024,West Virginia,Bachelor's Degree,154542
803,2024,West Virginia,Doctoral Degree,218928
804,2024,West Virginia,Master's Degree,72050
805,2024,Wisconsin,Associate Degree,39555
806,2024,Wisconsin,Bachelor's Degree,147236
807,2024,Wisconsin,Doctoral Degree,219070
808,2024,Wisconsin,Master's Degree,74238
809,2024,Wyoming,Associate Degree,41543
810,2024,Wyoming,Bachelor's Degree,150182
811,2024,Wyoming,Doctoral Degree,212415
812,2024,Wyoming,Master's Degree,69674
